"","deseq2_ASV_class"
"ASV_1","non-differential"
"ASV_2","non-differential"
"ASV_3","non-differential"
"ASV_4","non-differential"
"ASV_5","non-differential"
"ASV_6","non-differential"
"ASV_7","non-differential"
"ASV_8","non-differential"
"ASV_9","non-differential"
"ASV_10","non-differential"
"ASV_11","non-differential"
"ASV_12","non-differential"
"ASV_13","non-differential"
"ASV_14","non-differential"
"ASV_15","non-differential"
"ASV_16","non-differential"
"ASV_18","non-differential"
"ASV_19","non-differential"
"ASV_21","non-differential"
"ASV_22","non-differential"
"ASV_24","non-differential"
"ASV_25","non-differential"
"ASV_26","non-differential"
"ASV_27","non-differential"
"ASV_28","non-differential"
"ASV_29","non-differential"
"ASV_30","non-differential"
"ASV_31","non-differential"
"ASV_32","non-differential"
"ASV_33","non-differential"
"ASV_34","non-differential"
"ASV_35","non-differential"
"ASV_36","non-differential"
"ASV_37","non-differential"
"ASV_39","non-differential"
"ASV_40","non-differential"
"ASV_41","non-differential"
"ASV_42","non-differential"
"ASV_43","non-differential"
"ASV_44","non-differential"
"ASV_45","non-differential"
"ASV_46","non-differential"
"ASV_47","non-differential"
"ASV_48","non-differential"
"ASV_49","non-differential"
"ASV_50","non-differential"
"ASV_51","non-differential"
"ASV_52","non-differential"
"ASV_53","non-differential"
"ASV_54","non-differential"
"ASV_55","non-differential"
"ASV_56","non-differential"
"ASV_57","non-differential"
"ASV_58","non-differential"
"ASV_59","non-differential"
"ASV_60","non-differential"
"ASV_61","non-differential"
"ASV_62","non-differential"
"ASV_63","non-differential"
"ASV_64","non-differential"
"ASV_65","non-differential"
"ASV_66","non-differential"
"ASV_67","non-differential"
"ASV_68","non-differential"
"ASV_69","non-differential"
"ASV_70","non-differential"
"ASV_71","non-differential"
"ASV_72","non-differential"
"ASV_73","non-differential"
"ASV_74","non-differential"
"ASV_75","non-differential"
"ASV_76","non-differential"
"ASV_77","non-differential"
"ASV_78","non-differential"
"ASV_79","non-differential"
"ASV_80","non-differential"
"ASV_81","non-differential"
"ASV_82","non-differential"
"ASV_83","non-differential"
"ASV_84","non-differential"
"ASV_85","non-differential"
"ASV_86","non-differential"
"ASV_87","non-differential"
"ASV_88","non-differential"
"ASV_89","non-differential"
"ASV_90","non-differential"
"ASV_91","non-differential"
"ASV_92","non-differential"
"ASV_93","non-differential"
"ASV_95","non-differential"
"ASV_96","non-differential"
"ASV_97","non-differential"
"ASV_98","non-differential"
"ASV_99","non-differential"
"ASV_100","non-differential"
"ASV_101","non-differential"
"ASV_102","non-differential"
"ASV_103","non-differential"
"ASV_104","non-differential"
"ASV_105","non-differential"
"ASV_106","non-differential"
"ASV_107","non-differential"
"ASV_108","non-differential"
"ASV_109","non-differential"
"ASV_111","non-differential"
"ASV_112","non-differential"
"ASV_113","non-differential"
"ASV_114","non-differential"
"ASV_115","non-differential"
"ASV_116","non-differential"
"ASV_117","non-differential"
"ASV_118","non-differential"
"ASV_119","non-differential"
"ASV_120","non-differential"
"ASV_121","non-differential"
"ASV_122","non-differential"
"ASV_123","non-differential"
"ASV_124","non-differential"
"ASV_125","non-differential"
"ASV_126","non-differential"
"ASV_127","non-differential"
"ASV_128","non-differential"
"ASV_129","non-differential"
"ASV_130","non-differential"
"ASV_131","non-differential"
"ASV_132","non-differential"
"ASV_133","non-differential"
"ASV_134","non-differential"
"ASV_135","non-differential"
"ASV_136","non-differential"
"ASV_137","non-differential"
"ASV_138","non-differential"
"ASV_139","non-differential"
"ASV_140","non-differential"
"ASV_141","non-differential"
"ASV_142","non-differential"
"ASV_143","non-differential"
"ASV_144","non-differential"
"ASV_145","non-differential"
"ASV_146","non-differential"
"ASV_147","non-differential"
"ASV_148","non-differential"
"ASV_149","non-differential"
"ASV_150","non-differential"
"ASV_151","non-differential"
"ASV_152","non-differential"
"ASV_153","non-differential"
"ASV_154","non-differential"
"ASV_155","non-differential"
"ASV_156","non-differential"
"ASV_157","non-differential"
"ASV_158","non-differential"
"ASV_159","non-differential"
"ASV_160","non-differential"
"ASV_161","non-differential"
"ASV_162","non-differential"
"ASV_163","non-differential"
"ASV_164","non-differential"
"ASV_165","non-differential"
"ASV_166","non-differential"
"ASV_167","non-differential"
"ASV_168","non-differential"
"ASV_169","non-differential"
"ASV_170","non-differential"
"ASV_171","non-differential"
"ASV_172","non-differential"
"ASV_173","non-differential"
"ASV_174","non-differential"
"ASV_175","non-differential"
"ASV_176","non-differential"
"ASV_177","non-differential"
"ASV_178","non-differential"
"ASV_179","non-differential"
"ASV_180","non-differential"
"ASV_181","non-differential"
"ASV_182","non-differential"
"ASV_184","non-differential"
"ASV_185","non-differential"
"ASV_186","non-differential"
"ASV_187","non-differential"
"ASV_188","non-differential"
"ASV_189","non-differential"
"ASV_191","non-differential"
"ASV_192","non-differential"
"ASV_193","non-differential"
"ASV_194","non-differential"
"ASV_195","non-differential"
"ASV_196","non-differential"
"ASV_197","non-differential"
"ASV_198","non-differential"
"ASV_199","non-differential"
"ASV_200","non-differential"
"ASV_201","non-differential"
"ASV_202","non-differential"
"ASV_203","non-differential"
"ASV_204","non-differential"
"ASV_205","non-differential"
"ASV_206","non-differential"
"ASV_207","non-differential"
"ASV_208","non-differential"
"ASV_210","non-differential"
"ASV_211","non-differential"
"ASV_212","non-differential"
"ASV_213","non-differential"
"ASV_214","non-differential"
"ASV_215","non-differential"
"ASV_216","non-differential"
"ASV_217","non-differential"
"ASV_218","non-differential"
"ASV_219","non-differential"
"ASV_220","non-differential"
"ASV_221","non-differential"
"ASV_222","non-differential"
"ASV_223","non-differential"
"ASV_224","non-differential"
"ASV_225","non-differential"
"ASV_226","non-differential"
"ASV_227","non-differential"
"ASV_228","non-differential"
"ASV_229","non-differential"
"ASV_230","non-differential"
"ASV_231","non-differential"
"ASV_232","non-differential"
"ASV_233","non-differential"
"ASV_234","non-differential"
"ASV_235","non-differential"
"ASV_236","non-differential"
"ASV_237","non-differential"
"ASV_238","non-differential"
"ASV_239","non-differential"
"ASV_240","non-differential"
"ASV_241","non-differential"
"ASV_242","non-differential"
"ASV_243","non-differential"
"ASV_244","non-differential"
"ASV_245","non-differential"
"ASV_246","non-differential"
"ASV_247","non-differential"
"ASV_248","non-differential"
"ASV_249","non-differential"
"ASV_250","non-differential"
"ASV_251","non-differential"
"ASV_253","non-differential"
"ASV_254","non-differential"
"ASV_255","non-differential"
"ASV_256","non-differential"
"ASV_257","non-differential"
"ASV_258","non-differential"
"ASV_259","non-differential"
"ASV_260","non-differential"
"ASV_261","non-differential"
"ASV_262","non-differential"
"ASV_263","non-differential"
"ASV_265","non-differential"
"ASV_266","non-differential"
"ASV_267","non-differential"
"ASV_268","non-differential"
"ASV_269","non-differential"
"ASV_270","non-differential"
"ASV_271","non-differential"
"ASV_272","non-differential"
"ASV_273","non-differential"
"ASV_274","non-differential"
"ASV_275","non-differential"
"ASV_276","non-differential"
"ASV_277","non-differential"
"ASV_278","non-differential"
"ASV_279","non-differential"
"ASV_280","non-differential"
"ASV_281","non-differential"
"ASV_282","non-differential"
"ASV_283","non-differential"
"ASV_284","non-differential"
"ASV_285","non-differential"
"ASV_286","non-differential"
"ASV_287","non-differential"
"ASV_288","non-differential"
"ASV_289","non-differential"
"ASV_290","non-differential"
"ASV_291","non-differential"
"ASV_292","non-differential"
"ASV_293","non-differential"
"ASV_294","non-differential"
"ASV_295","non-differential"
"ASV_296","non-differential"
"ASV_297","non-differential"
"ASV_298","non-differential"
"ASV_299","non-differential"
"ASV_300","non-differential"
"ASV_301","non-differential"
"ASV_302","non-differential"
"ASV_303","non-differential"
"ASV_304","non-differential"
"ASV_305","abundant_in_treatment"
"ASV_306","non-differential"
"ASV_307","non-differential"
"ASV_308","non-differential"
"ASV_309","non-differential"
"ASV_310","non-differential"
"ASV_311","non-differential"
"ASV_312","non-differential"
"ASV_313","non-differential"
"ASV_314","non-differential"
"ASV_315","non-differential"
"ASV_316","non-differential"
"ASV_317","non-differential"
"ASV_318","non-differential"
"ASV_319","non-differential"
"ASV_322","non-differential"
"ASV_323","non-differential"
"ASV_324","non-differential"
"ASV_325","non-differential"
"ASV_326","non-differential"
"ASV_327","non-differential"
"ASV_330","non-differential"
"ASV_331","non-differential"
"ASV_332","non-differential"
"ASV_333","non-differential"
"ASV_334","non-differential"
"ASV_335","non-differential"
"ASV_336","non-differential"
"ASV_337","non-differential"
"ASV_339","non-differential"
"ASV_340","non-differential"
"ASV_341","non-differential"
"ASV_342","non-differential"
"ASV_343","non-differential"
"ASV_344","non-differential"
"ASV_345","non-differential"
"ASV_347","non-differential"
"ASV_348","non-differential"
"ASV_349","non-differential"
"ASV_350","non-differential"
"ASV_352","non-differential"
"ASV_353","non-differential"
"ASV_354","abundant_in_control"
"ASV_355","non-differential"
"ASV_357","non-differential"
"ASV_359","non-differential"
"ASV_360","non-differential"
"ASV_361","non-differential"
"ASV_363","non-differential"
"ASV_364","non-differential"
"ASV_365","non-differential"
"ASV_366","non-differential"
"ASV_367","non-differential"
"ASV_369","non-differential"
"ASV_370","non-differential"
"ASV_371","non-differential"
"ASV_372","non-differential"
"ASV_373","non-differential"
"ASV_374","non-differential"
"ASV_375","non-differential"
"ASV_376","non-differential"
"ASV_377","non-differential"
"ASV_378","non-differential"
"ASV_379","non-differential"
"ASV_380","non-differential"
"ASV_381","non-differential"
"ASV_382","non-differential"
"ASV_383","non-differential"
"ASV_384","non-differential"
"ASV_385","non-differential"
"ASV_386","non-differential"
"ASV_387","non-differential"
"ASV_388","non-differential"
"ASV_390","non-differential"
"ASV_391","non-differential"
"ASV_392","non-differential"
"ASV_393","non-differential"
"ASV_394","non-differential"
"ASV_395","non-differential"
"ASV_396","non-differential"
"ASV_397","non-differential"
"ASV_399","non-differential"
"ASV_400","non-differential"
"ASV_401","non-differential"
"ASV_402","non-differential"
"ASV_403","non-differential"
"ASV_405","non-differential"
"ASV_406","abundant_in_control"
"ASV_407","non-differential"
"ASV_408","non-differential"
"ASV_410","non-differential"
"ASV_411","non-differential"
"ASV_412","non-differential"
"ASV_413","non-differential"
"ASV_414","non-differential"
"ASV_415","non-differential"
"ASV_416","non-differential"
"ASV_417","non-differential"
"ASV_418","non-differential"
"ASV_419","non-differential"
"ASV_420","non-differential"
"ASV_421","non-differential"
"ASV_424","non-differential"
"ASV_425","non-differential"
"ASV_426","non-differential"
"ASV_427","non-differential"
"ASV_428","non-differential"
"ASV_429","non-differential"
"ASV_430","non-differential"
"ASV_431","non-differential"
"ASV_432","non-differential"
"ASV_433","non-differential"
"ASV_434","non-differential"
"ASV_435","non-differential"
"ASV_436","non-differential"
"ASV_437","non-differential"
"ASV_438","non-differential"
"ASV_440","non-differential"
"ASV_441","non-differential"
"ASV_442","non-differential"
"ASV_443","non-differential"
"ASV_444","non-differential"
"ASV_445","non-differential"
"ASV_446","non-differential"
"ASV_447","non-differential"
"ASV_448","non-differential"
"ASV_449","non-differential"
"ASV_450","non-differential"
"ASV_451","non-differential"
"ASV_454","non-differential"
"ASV_455","non-differential"
"ASV_456","non-differential"
"ASV_457","non-differential"
"ASV_459","non-differential"
"ASV_460","non-differential"
"ASV_461","non-differential"
"ASV_462","non-differential"
"ASV_463","non-differential"
"ASV_464","non-differential"
"ASV_466","non-differential"
"ASV_468","non-differential"
"ASV_470","non-differential"
"ASV_471","non-differential"
"ASV_472","non-differential"
"ASV_473","non-differential"
"ASV_474","non-differential"
"ASV_475","non-differential"
"ASV_476","non-differential"
"ASV_477","non-differential"
"ASV_478","non-differential"
"ASV_479","non-differential"
"ASV_480","non-differential"
"ASV_481","non-differential"
"ASV_482","non-differential"
"ASV_483","non-differential"
"ASV_484","non-differential"
"ASV_485","non-differential"
"ASV_486","non-differential"
"ASV_487","non-differential"
"ASV_488","non-differential"
"ASV_490","non-differential"
"ASV_491","non-differential"
"ASV_492","non-differential"
"ASV_493","non-differential"
"ASV_494","non-differential"
"ASV_495","non-differential"
"ASV_496","non-differential"
"ASV_497","non-differential"
"ASV_498","non-differential"
"ASV_499","non-differential"
"ASV_500","non-differential"
"ASV_501","non-differential"
"ASV_504","non-differential"
"ASV_505","non-differential"
"ASV_506","non-differential"
"ASV_507","non-differential"
"ASV_508","non-differential"
"ASV_509","abundant_in_control"
"ASV_510","non-differential"
"ASV_511","non-differential"
"ASV_512","non-differential"
"ASV_513","non-differential"
"ASV_514","non-differential"
"ASV_515","non-differential"
"ASV_516","non-differential"
"ASV_517","non-differential"
"ASV_518","non-differential"
"ASV_519","non-differential"
"ASV_520","non-differential"
"ASV_521","non-differential"
"ASV_522","non-differential"
"ASV_523","non-differential"
"ASV_524","non-differential"
"ASV_525","non-differential"
"ASV_526","non-differential"
"ASV_527","non-differential"
"ASV_528","non-differential"
"ASV_530","non-differential"
"ASV_531","non-differential"
"ASV_534","non-differential"
"ASV_535","non-differential"
"ASV_536","non-differential"
"ASV_537","non-differential"
"ASV_539","non-differential"
"ASV_540","non-differential"
"ASV_542","non-differential"
"ASV_543","non-differential"
"ASV_544","non-differential"
"ASV_545","non-differential"
